wod1,wod2
"Shoulder press 1-1-1-1-1 reps
Push press 3-3-3-3-3 reps
Push Jerk 5-5-5-5-5 reps",Post loads to comments.
"""DG""","Complete as many rounds as possible in 10 minutes of:
8 Toes to bar
35 pound Dumbbell thruster, 8 reps
35 pound Dumbbell walking lunge, 12 steps"
Rest Day,
"Four rounds for time of:
Run 400 meters
50 Squats",Post time to comments.
Back Squat 5-5-5-5-5 reps,Post loads to comments.
"For time:
100 Double-unders
Then, Five rounds of:
75 pound Dumbbell deadlift, 10 reps
75 pound Dumbbell front squat, 10 reps
10 Handstand push-ups
Then, 100 Double-unders",Post time to comments.
Rest Day,
Row 5K,Post time to comments.
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
"Ten rounds for time of:
12 Burpees
12 Pull-ups",Post time to comments.
Rest Day,
"Five rounds for load and time of:
15 Handstand Push-ups
5 Deadlifts",Post load and time to comments.
"Complete as many rounds as possible in 20 minutes of:
30 second Handstand hold
30 second Squat hold
30 second L-sit hold
30 second Chin over bar hold",Post rounds completed to comments.
Hang squat clean 3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,
Push Jerk 1-1-1-1-1-1-1 reps,Post loads to comments.
"""Coffey""","For time:
Run 800 meters
135 pound Back squat, 50 reps
135 pound Bench press, 50 reps
Run 800 meters
135 pound Back squat, 35 reps
135 pound Bench press, 35 reps
Run 800 meters
135 pound Back squat, 20 reps
135 pound Bench press, 20 reps
Run 800 meters
1 Muscle-up"
"Ten rounds, each for time of:
100 meter Sprint
Rest 90 seconds",Post times for each round to comments.
Rest Day,
"Complete as many rounds as possible in 20 minutes of:
95 pound Thruster, 5 reps
95 pound Hang Powerclean, 7 reps
95 pound Sumo Deadlift High-pull, 10 reps",Post rounds completed to comments.
"Four rounds for time of:
Row 500 meters
Rest 3 minutes",Post times to comments.
"Complete as many rounds as possible in five minutes of:
275 pound Deadlift, 3 reps
115 pound Push press, 7 reps",Post rounds completed to comments.
Rest Day,
"Five rounds for time of:
10 Kettlebell clean and jerks, 1.5 pood each
3 Muscle-ups",Post time to comments.
Back Squat 2-2-2-2-2-2-2-2-2-2 reps,Post loads to comments.
"Five rounds for time of:
20 GHD Sit-ups
15 ft Rope climb, legless, 3 ascents",Post time to comments.
Rest Day,
Thruster 2-2-2-2-2-2-2,Post load(s) to comments.
Run 5K,Post time to comments.
"Complete as many rounds as possible in 15 minutes of:
20 Push-ups
50 Squats",Post rounds completed to comments.
Rest Day,
"Five rounds for time of:
Run 400 meters
185 pound Deadlift, 21 reps",Post time to comments.
"Resting 60 seconds between sets:
Bench press 2-2-2-2-2-2-2-2-2-2",Post load(s) to comments.
"Five rounds for time of:
50 Wallball shots, 20 pound ball
Run 400 meters",Post time to comments.
Rest Day,
"""Willy""","Three rounds for time of:
Run 800 meters
225 pound Front squat, 5 reps
Run 200 meters
11 Chest to bar pull-ups
Run 400 meters
12 Kettlebell swings, 2 pood"
Weighted pull-ups 1-1-1-1-1-1-1 reps,Post loads and body weight to comments.
"For time:
15 Dumbbell burpee box-overs, 50 pounds, 24"" box
315 pound Deadlift, 15 reps
205 pound Overhead squat, 15 reps
15 Muscle-ups",Post time to comments.
Rest Day,
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders",Post time to comments.
Hang power snatch 3-3-3-3-3 reps,Post loads to comments.
"""Lee""","Five rounds for time of:
Run 400 meters
345 pound Deadlift, 1 rep
185 pound Squat clean, 3 reps
185 pound Push jerk, 5 reps
3 Muscle-ups
15 foot Rope climb, 1 ascent"
Rest Day,
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Rest Day,
"21-15-9 reps of:
225 pound Deadlift
135 pound Overhead squat",Post time to comments.
"With a continuously running clock do one muscle-up the first minute, two muscle-ups the second minute, three muscle-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
2010 Northwest Regional Event 1,"Three rounds for time of:
135 pound Overhead squat, 10 reps
50 Double-unders"
Rest Day,
"Muscle snatch 1-1-1-1-1 reps
Power snatch 3-3-3-3-3 reps
Snatch 5-5-5-5-5 reps",Post loads to comments.
2011 CrossFit Games Regional Workout 6,"For time:
Row 20 calories
30 Burpees
45 pound Two-arm dumbbell ground-to-overhead, 40 reps
50 Toes to bar
100 foot Walking lunge with 45lb plate held overhead
150 foot Sprint"
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
Rest Day,
"Five rounds for time of:
10 Wall climbs
10 Toes to bar
20 Box jumps, 24"" box","For the wall climbs, start with your toes and chest on the deck, walk your feet up the wall until your chest touches the wall, and then descend back to the original position."
"Five rounds of:
15 Kettlebell burpees
2 Thrusters
1 Snatch","Post methods and loads for the kettlebell burpees, thrusters, and snatch to social media. @danieltosh #tosh"
"Three rounds for time of:
95 pound Overhead squat, 15 reps
15 L Pull-ups
95 pound Split-jerk, 15 reps
15 Knees to elbows
95 pound Hang clean, 15 reps
15 Back extensions, with 25 pounds",Hold 25 pound plate or dumbbell to chest for back extensions.
Rest Day,
Bent over barbell row 5-5-5-5-5 reps,Post loads to comments.
"""Morrison""","50-40-30-20 and 10 rep rounds of:
Wall ball shots, 20 pound ball
Box jump, 24 inch box
Kettlebell swings, 1.5 pood"
"Three rounds, 15-12-and 9 reps, for time of:
135 pound barbell Thrusters
45 pound weighted Pull-ups","For weighted pull-ups, placing a 45 pound dumbbell between the legs above crossed ankles works great."
Rest Day,
"Complete as many rounds as possible in 15 minutes of:
135 pound Push press, 7 reps
135 pound Overhead squat, 10 reps
15 GHD Sit-ups",Post rounds completed to comments.
"Complete as many rounds as possible in 15 minutes of:
15 Chest to bar pull-ups
30 second Ring L-sit hold",Post rounds completed to comments.
"Complete as many rounds as possible in 15 minutes of:
Row 250 meters
25 Push-ups",Post rounds completed to comments.
Rest Day,
Snatch 3-3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Walsh""","Four rounds for time of:
22 Burpee pull-ups
185 pound Back squat, 22 reps
Run 200 meters with a 45 pound plate overhead"
Snatch Balance 3-3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"""Eva""","Five rounds for time of:
Run 800 meters
2 pood Kettlebell swing, 30 reps
30 Pull-ups"
"Overhead squat 1-1-1-1-1 reps
Front squat 1-1-1-1-1 reps
Back squat 1-1-1-1-1 reps",Try to increase the load on each of the fifteen sets.
"225 pound Deadlift, 21 reps
Handstand walk 21 meters
225 pound Deadlift, 15 reps
Handstand walk 15 meters
225 pound Deadlift, 9 reps
Handstand walk 9 meters",Post time to comments.
Rest Day,
"Resting 60 seconds between sets:
Bench press 2-2-2-2-2-2-2-2-2-2",Post load(s) to comments.
"Ten rounds, each for time of:
100 meter Sprint
Rest 90 seconds",Post times for each round to comments.
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
"""Test 3""","Tabata Squat
Max reps of Muscle-ups in 4 minutes"
Hang power clean 3-3-3-3-3-3-3 reps,Post loads to comments.
"Six rounds for time of:
Run 400 meters
25 Pull-ups",Post time to comments.
Rest Day,
"""Dragon""","For time:
Run 5k
4 minutes to find 4 rep max Deadlift
Run 5k
4 minutes to find 4 rep max Push jerk"
"Five rounds for time of:
5 Hanging ring extensions (right arm + left arm = 1)
5 Forward rolls
5 Backward rolls
45 pound Sots press, 10 reps",Post time to comments.
"""DT""","Five rounds for time of:
155 pound Deadlift, 12 reps
155 pound Hang power clean, 9 reps
155 pound Push jerk, 6 reps"
Rest Day,
Front Squat 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
"6 rounds for time of:
Run 400 meters
25 Burpees",Set up under a bar that is one foot above your reach for the burpees. Jump and touch the bar for each burpee rep.
"For time, 21-18-15-12-9-6 and 3 rep rounds of:
Walking lunge steps
95 pound Barbell thruster
Pull-ups
Knees to elbows",Post time to comments.
Rest Day,
Run 5K,Post time to comments.
"Complete as many rounds as possible in 20 minutes of:
Handstand walk 10 yards
15 foot L-rope climb, 1 ascent
10 One-legged overhead squats, PVC pipe",Post rounds completed to comments.
Deadlift 3-3-3-3-3 reps,Post loads to comments.
Rest Day,
"For time:
45 pound barbell Overhead squat, 50 reps
100 Abmat sit-ups
115 pound Overhead squat, 25 reps
50 Toes-to-bar
185 pound Overhead squat, 10 reps
20 GHD sit-ups",Post time to comments.
"""Fight Gone Bad!""","Three rounds of:
Wall-ball, 20 pound ball, 10 ft target (Reps)
Sumo deadlift high-pull, 75 pounds (Reps)
Box Jump, 20"" box (Reps)
Push-press, 75 pounds (Reps)
Row (Calories)"
"Five rounds of:
100 meter Sprint
Clean & jerk, 1 rep
Max reps Muscle-up","Post time, load and reps for each. Rest as needed between efforts."
Rest Day,
"Three rounds for time of:
Knees to elbows, 21 reps
1 1/2 pood Kettlebell swing, 21 reps
Push-ups, 21 reps
Rope climb, 3 trips
20 inch Box jump, 21 reps
Back extension, 21 reps
Walking lunge, 150 ft",Post time to comments.
"""Holleyman""","30 rounds for time of:
5 Wall ball shots, 20 pound ball
3 Handstand push-ups
225 pound Power clean, 1 rep"
"Five rounds for time of:
45 pound barbell Overhead walking lunges, 50 feet
21 Burpees",Let trailing knee gently kiss the ground on each lunge.
Rest Day,
Snatch 1-1-1-1-1-1-1 reps,Post loads to comments.
Squat clean 1-1-1-1-1-1-1 reps,Post loads to comments.
Split Jerk 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"""The Don""","For time:
66 Deadlifts, 110 pounds
66 Box jump, 24 inch box
66 Kettlebell swings, 1.5 pood
66 Knees to elbows
66 Sit-ups
66 Pull-ups
66 Thrusters, 55 pounds
66 Wall ball shots, 20 pound ball
66 Burpees
66 Double-unders"
Back Squat 3-3-3-3-3 reps,Post loads to comments.
"21-15-9 reps of
Hang squat clean, 50 pound dumbbells
Handstand push-ups",Post time to comments.
Rest Day,
"""Barbara""","Five rounds, each for time of:
20 Pull-ups
30 Push-ups
40 Sit-ups
50 Squats"
"""Griff""","For time:
Run 800 meters
Run 400 meters backwards
Run 800 meters
Run 400 meters backwards"
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
Rest Day,
"""Roney""","Four rounds for time of:
Run 200 meters
135 pound Thruster, 11 reps
Run 200 meters
135 pound Push press, 11 reps
Run 200 meters
135 pound Bench press, 11 reps"
"Three rounds for time of:
Row 500 meters
12 Deadlifts: body weight
21 Box jump, 20 inch box",Post time to comments.
"Shoulder press 1-1-1-1-1 reps
Push press 3-3-3-3-3 reps
Push Jerk 5-5-5-5-5 reps",Post loads to comments.
"""Hotshots 19""","Six rounds for time of:
30 Squats
135 pound Power clean, 19 reps
7 Strict Pull-ups
Run 400 meters"
"10 rounds with a 2 minute rest in between, of any (or any combination) of:
Swim 100 meters
OR
Run 400 meters
OR
Row 500 meters
OR
Bike 1000 meters",Post your choice of exercises and times of each round to comments.
"""Annie""","50-40-30-20 and 10 rep rounds of:
Double-unders
Sit-ups"
"Complete the following:
Weighted Dip, 5 rep max
Rest 5 minutes
Weighted Dip, 3 rep max
Rest 5 minutes
Weighted Dip, 1 rep max",Post loads to comments.
Rest Day,
"Complete the following:
Weighted Pull-up, 5 rep max
Rest 5 minutes
Weighted Pull-up, 3 rep max
Rest 5 minutes
Weighted Pull-up, 1 rep max",Post loads to comments.
"Ten rounds for load and time of:
1 Clean and Jerk
5 Pull-ups
10 Push-ups
15 Squats",Post load and time to comments.
"Complete as many rounds as possible in 12 minutes of:
5 GHD sit-ups
7 Back extensions
95 pound Overhead squat, 9 reps",Post rounds completed to comments.
Rest Day,
"""Dobogai""","Seven rounds for time of:
8 Muscle-ups
22 yard Farmer carry, 50 pound dumbbells"
"""Donny""","21-15-9-9-15-21 reps for time of:
225 pound Deadlift
Burpee"
"""Falkel""","Complete as many rounds as possible in 25 minutes of:
8 Handstand push-ups
8 Box jump, 30 inch box
15 foot Rope climb, 1 ascent"
Rest Day,
"""Angie""","For time:
100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats"
Back Squat 3-3-3-3-3 reps,Post loads to comments.
"With a 45 pound barbell, 21-15- and 9 reps for time of:
Turkish Get-ups, alternating arms
Sots press",Post time to comments.
Rest Day,
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
Clean and Jerk 1-1-1-1-1-1-1 reps,Post loads to comments.
"For time:
50 Double unders
50 Burpees
50 Wall ball shots, 20 pound ball
50 Back extensions
50 Push press, 45 pounds
50 Knees to elbows
Walking Lunge, 50 steps
50 Kettlebell swings, 1 pood
50 Jumping pull-ups
50 Box jump, 24 inch box",Compare to 130128.
Rest Day,
"Two rounds for time of:
135 pound Thruster, 30 reps
30 L Pull-ups",Post time to comments.
"Five rounds for time of:
95 pound Sumo deadlift high-pull, 21 reps
21 Ring dips",Post time to comments.
"Ten rounds for time of:
7 Burpees
7 Knees to elbows",Post time to comments.
Rest Day,
"For time:
30 Snatches",Post time and load to comments.
"""Kelly""","Five rounds for time of:
Run 400 meters
30 Box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Deadlift 7-7-7-7-7-7-7 reps,"For each set, touch and go at ground only."
Rest Day,
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
Run 5K,Post time to comments.
Shoulder Press 5-5-5-5-5 reps,Post loads to comments.
Rest Day,
"For time:
Complete three rounds of:
5 Muscle-ups
5 Deficit handstand push-ups
Then, 160 pound barbell Overhead walking lunges, 90 feet",Post time to comments.
"Row 1 K
Five rounds of:
25 Pull-ups
135 pound Push jerk, 7 reps",Post time to comments.
"For time:
95 pound Thruster, 27 reps
15 foot Legless rope climb, 4 ascents
95 pound Thruster, 21 reps
15 foot Legless rope climb, 3 ascents
95 pound Thruster, 15 reps
15 foot Legless rope climb, 2 ascents
95 pound Thruster, 9 reps
15 foot Legless rope climb, 1 ascent",Post time to comments.
Rest Day,
"For time:
100 Double-unders
Run 100 meters
15 foot Rope climb, 4 ascents
Run 100 meters
135 pound Front squat, 30 reps
Run 100 meters
100 meter Farmer carry, 70 pound dumbbells
70 pound Dumbbell snatch, alternating, 20 reps
Run 100 meters",Post time to comments.
"For time:
Row 21,097 meters",Post 2K time and total time to comments.
"For time:
205 pound Front squat, 20 reps
30 Box jump, 30 inch box
40 Kettlebell swings, 1.5 pood
50 Wall ball shots, 20 pound ball",Post time to comments.
Rest Day,
"""Tabata This!""","Tabata Row
Rest 1 minute
Tabata Squat
Rest 1 minute
Tabata Pull-up
Rest 1 minute
Tabata Push-up
Rest 1 minute
Tabata Sit-up"
"21-15-9 reps for time of:
GHD Wall ball, 10 pound ball
Wallball ""2-fer-1s"", 20 pound ball",Post time to comments.
"For time:
15 foot Rope climb, 5 ascents
145 pound Clean and jerk, 5 reps
15 foot Rope climb, 4 ascents
165 pound Clean and jerk, 4 reps
15 foot Rope climb, 3 ascents
185 pound Clean and jerk, 3 reps
15 foot Rope climb, 2 ascents
205 pound Clean and jerk, 2 reps
15 foot Rope climb, 1 ascent
225 pound Clean and jerk, 1 rep",Post time to comments.
Rest Day,
"Sprint triathlon
For time:
Swim 750 meters
Bike 20K
Run 5K",Post time to comments.
"""Nancy""","5 rounds for time of:
400 meter run
95 pound Overhead squat, 15 reps"
"Three rounds for time of:
135 pound Hang power clean, 15 reps
15 Burpees",Post time to comments.
Rest Day,
"For time:
155 pound Squat clean, 15 reps
30 Toes to bar
30 Box jump, 24 inch box
15 Muscle-ups
40 pound dumbbell Push press / push jerk, 30 reps
30 Double-unders
135 pound Thruster, 15 reps
30 Pull-ups
30 Burpees
300 feet Walking lunge with 45lb plate held overhead",Post time to comments.
"155 pound Squat Clean and Jerk, 30 reps","The barbell goes from ground to overhead, passing through a front squat in which the crease of the hip passes below the height of the kneecap. The finish position is with the arms, hips and knees fully extended, arms overhead, with at least a portion of the ear visible in front of the arm. Dropping the barbell is acceptable."
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
Rest Day,
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
Front squat 3-3-3-3-3 reps,Post loads to comments.
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
Hope For Cures workout is today!,"""Hope"""
Perform the following tests:,"L-sit for time.
Handstand walk for distance.
Chest to bar weighted pull-up for load.
Snatch 1 rep for load."
"""Smykowski""","For time:
Run 6k
60 Burpee pull-ups"
10-9-8-7-6-5-4-3-2-1 reps of the triplet:,"Chest-to-bar pull-up
Box jump, 30 inch box
GHD sit-up"
Rest Day,
Behind the neck Jerk 1-1-1-1-1-1-1,Post loads to comments.
"21-15-9 reps of:
225 pound Deadlift
135 pound Overhead squat",Post time to comments.
"For time:
Bike 3000 meters
75 Kettlebell swings, 1.5 pood
Row 1000 meters
60 Wall ball shots, 20 pound ball
Run 800 meters
45 Pull-ups",Post time to comments.
Rest Day,
"Complete as many rounds as possible in 12 minutes of:
10 Burpees
25 Double-unders",Post rounds completed to comments.
"""Bruck""","Four rounds for time of:
Run 400 meters
185 pound Back squat, 24 reps
135 pound Jerk, 24 reps"
"Five rounds for time of:
275 pound Deadlift, 5 reps
25 Sit-ups",Post time to comments.
Rest Day,
Snatch Balance 3-3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Fight Gone Bad!""","Three rounds of:
Wall-ball, 20 pound ball, 10 ft target (Reps)
Sumo deadlift high-pull, 75 pounds (Reps)
Box Jump, 20"" box (Reps)
Push-press, 75 pounds (Reps)
Row (Calories)"
"21-18-15-12-9-6-3 rep rounds of:
Handstand push-ups
L-pull-ups",Post time to comments.
Rest Day,
Hang power clean 3-3-3-3-3-3-3 reps,Post loads to comments.
"21-18-15-12-9-6-3 rep rounds of:
185 pound Front squat
GHD Sit-up",Post time to comments.
"Three rounds for time of:
Row 1000 meters
20 Pull-ups
30 Box jumps, 20 inch box",Post time to comments.
Rest Day,
Hang power snatch 3-3-3-3-3 reps,Post loads to comments.
"For time 15, 12, and 9 rep rounds of:
45 pound Dumbbell Thruster
Muscle-up",Post time to comments.
"""Gallant""","For time:
Run 1 mile with a 20 pound medicine ball
60 Burpee pull-ups
Run 800 meters with a 20 pound medicine ball
30 Burpee pull-ups
Run 400 meters with a 20 pound medicine ball
15 Burpee pull-ups"
Rest Day,
"21-15 and 9 rep rounds of:
Left-arm Kettlebell snatch, 1.5 pood
Right-arm Kettlebell snatch, 1.5 pood
Pull-ups",Post time to comments.
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
"21-18-15-12-9-6 and 3 rep rounds of:
Sumo deadlift high-pull, 75 pounds
Push jerk, 75 pounds",Post time to comments.
Rest Day,
"Complete as many rounds as possible in 20 minutes of:
5 Handstand push-ups
7 Chest to bar pull-ups
35 pound Dumbbell squat snatch, 10 reps, alternating",Post rounds completed to comments.
"""Annie""","50-40-30-20 and 10 rep rounds of:
Double-unders
Sit-ups"
"Complete as many rounds as possible in 20 minutes of:
Row 250 meters
25 Push-ups",Post rounds completed to comments.
Rest Day,
Run for 30 minutes,Post distance to comments.
2013 CrossFit Games Regional Event 7,"Four rounds for time of:
15 foot Rope climb, 2 ascents
100 foot Sprint
225 pound Squat clean, 4 reps
100 foot Sprint"
2013 CrossFit Games Regional Event 6,"For time:
100 Double-unders
50 Handstand push-ups
40 Toes-to-bar
160 pound Shoulder to overhead, 30 reps
90 foot Walking lunge with 160 pound barbell in front rack"
Rest Day,
"Three rounds for time of:
Run 400 meters
Single arm hang, right arm, 15 seconds
45 pound barbell Turkish Get-up, left arm, 5 reps
Single arm hang, left arm, 15 seconds
45 pound barbell Turkish Get-up, right arm, 5 reps
30 second L-sit hold",Post time to comments.
Back Squat 3-2-2-2-1-1-1-1-1 reps.,Post loads to comments.
"Every five minutes for 6 rounds:
Sprint 200 meters, for time
Run 400 meters",Rest the remainder of each five minute period. Post 200 meter sprint times to comments.
Rest Day,
2013 CrossFit Games Regional Event 5,"21-15-9 reps for time of:
315 pound Deadlift
30"" Box jump"
2013 CrossFit Games Regional Event 4,"For time:
100 Wall ball shots, 20 pound ball
100 Chest to bar pull-ups
100 One-legged squats, alternating
70 pound Dumbbell snatch, alternating, 100 reps"
2013 CrossFit Games Regional Event 3,"For time:
30 Burpee muscle-ups"
Rest Day,
Weighted pull-ups 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Omar""","For time:
95 pound barbell Thrusters, 10
15 Bar-facing burpees
95 pound barbell Thrusters, 20
25 Bar-facing burpees
95 pound barbell Thrusters, 30
35 Bar-facing burpees"
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
Rest Day,
2013 CrossFit Games Regional Event 2,"Complete the following in 7 minutes:
3 Overhead squats"
2013 CrossFit Games Regional Event 1,"""Jackie"""
Weighted dip 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"""Brehm""","For time:
15 foot Rope climb, 10 ascents
225 pound Back squat, 20 reps
30 Handstand push-ups
Row 40 calories"
"""Kelly""","Five rounds for time of:
Run 400 meters
30 Box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Clean and Jerk 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"Five rounds of:
5 Dumbbell deadlifts
5 Dumbbell hang cleans
5 Dumbbell push presses
5 Dumbbell squats",Increase the load each round. Rest as necessary between rounds.
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
"21-15-9 reps for time of:
Handstand push-ups
Pull-ups",Post time to comments.
Rest Day,
"""Nancy""","5 rounds for time of:
400 meter run
95 pound Overhead squat, 15 reps"
Front Squat 10-10-10-10-10 reps,Post loads to comments.
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
Rest Day,
"For time:
100 L-Pull-ups",Post time to comments.
Deadlift 3-3-3-3-3 reps,Post loads to comments.
"For time:
100 ft Walking lunge
50 Push-ups
50 Double-unders
25 Knees to elbows
5 Rope climb, 15 ft
50 Box jump, 24 inch box
25 Overhead squats, 65 pounds
25 L-pull-ups
50 Sit-ups",Post time to comments.
Rest Day,
"Shoulder press 1-1-1-1-1 reps
Push press 3-3-3-3-3 reps
Push Jerk 5-5-5-5-5 reps",Post loads to comments.
"""Klepto""","4 rounds for time of:
27 Box jumps, 24"" box
20 Burpees
11 Squat cleans, 145 pounds"
"Five rounds for time of:
7 Muscle-ups
Run 400 meters",Post time to comments.
Rest Day,
Overhead Squat 1-1-1-1-1-1-1 reps,Post loads to comments.
"""Schmalls""","Run 800 meters
Then two rounds of:
50 Burpees
40 Pull-ups
30 One-legged squats
20 Kettlebell swings, 1.5 pood
10 Handstand push-ups
Then,
Run 800 meters"
"Three rounds for time of:
Run 800 meters
50 Wall ball shots, 20 pound ball",Post time to comments.
Rest Day,
"""Jackie""","1000 meter row
45 pound Thruster, 50 reps
30 pull-ups"
Dumbbell Clean & Jerk 5-5-5-5-5,Go heavy. Ground to overhead.
"Four rounds for time of:
Run 400 meters
50 Squats",Post time to comments.
Rest Day,
"Five rounds for time of:
Row 500 meters
135 pound Bench press, 15 reps.",Post time to comments.
"Three rounds, 15-12-and 9 reps, for time of:
135 pound barbell Thrusters
45 pound weighted Pull-ups","For weighted pull-ups, placing a 45 pound dumbbell between the legs above crossed ankles works great."
"Ten rounds for time of:
135 pound Deadlift, 15 reps
15 push-ups",Post time to comments.
Rest Day,
"Three rounds for time of:
Walking lunge, 100 ft
50 Squats
25 Back extensions",Post time to comments.
"For time:
95 pound Thruster, 45 reps
45 Pull-ups",Post time to comments.
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
Rest Day,
"Ten rounds, each for time of:
100 meter Sprint
Rest 90 seconds",Post times for each round to comments.
"""Jorge""","For time:
30 GHD sit-ups
155 pound Squat clean, 15 reps
24 GHD sit-ups
155 pound Squat clean, 12 reps
18 GHD sit-ups
155 pound Squat clean, 9 reps
12 GHD sit-ups
155 pound Squat clean, 6 reps
6 GHD sit-ups
155 pound Squat clean, 3 reps"
"8 rounds of:
Run 400 meters
Rest 90 seconds",Post total time to comments not including 8th rest.
Rest Day,
CrossFit Games Open 13.5,"Complete as many rounds and reps as possible in 4 minutes of:
100 pound Thruster, 15 reps
15 Chest to bar Pull-ups"
"For time:
Row 1000 meters
20 GHD sit-ups
Row 750 meters
40 Toes to bar
Row 500 meters
60 Sit-ups",Post time to comments.
"For time:
115 pound Shoulder press, 10 reps
115 pound Overhead squat, 15 reps
115 pound Push press, 20 reps
115 pound Front squat, 25 reps
115 pound Push jerk, 30 reps
115 pound Back squat, 35 reps",Post time to comments.
Rest Day,
"Five rounds for time of:
205 pound Power clean, 3 reps
10 Burpee pull-ups",Post time to comments.
Thruster 2-2-2-2-2-2-2,Post load(s) to comments.
CrossFit Games Open 13.4,"Complete as many reps as possible in 7 minutes following the rep scheme below:
135 pound Clean and jerk, 3 reps
3 Toes-to-bar
135 pound Clean and jerk, 6 reps
6 Toes-to-bar
135 pound Clean and jerk, 9 reps
9 Toes-to-bar
135 pound Clean and jerk, 12 reps
12 Toes-to-bar
135 pound Clean and jerk, 15 reps
15 Toes-to-bar
135 pound Clean and jerk, 18 reps
18 Toes-to-bar...
This is a timed workout. If you complete the round of 18, go on to 21. If you complete 21, go on to 24, etc."
Rest Day,
"""Nasty Girls""","3 rounds for time of:
50 Squats
7 Muscle-ups
135 pound Hang power cleans, 10 reps"
"""Cameron""","For time:
50 Walking lunge steps
25 Chest to bar pull-ups
50 Box jumps, 24 inch box
25 Triple-unders
50 Back extensions
25 Ring dips
50 Knees to elbows
25 Wallball ""2-fer-1s"", 20 pound ball
50 Sit-ups
15 foot Rope climb, 5 ascents"
"Five rounds for time of:
Run 400 meters
185 pound Deadlift, 21 reps",Post time to comments.
Rest Day,
"For time:
20 Kettlebell swings, 2 pood
30 Toes to bar
Run 400 meters",Post time to comments.
Snatch 1-1-1-1-1-1-1 reps,Post loads to comments.
CrossFit Games Open 13.3,"Complete as many rounds and reps as possible in 12 minutes of:
150 Wall ball shots, 20 pound ball
90 Double-unders
30 Muscle-ups"
Rest Day,
"Complete as many rounds as possible in 12 minutes of:
75 pound Shoulder press, 4 reps
75 pound Sumo deadlift high-pull, 8 reps
75 pound Front squat, 12 reps",Post rounds completed to comments.
Clean and Jerk 3-3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Barraza""","Complete as many rounds as possible in 18 minutes of:
Run 200 meters
275 pound Deadlift, 9 reps
6 Burpee bar muscle-ups"
Rest Day,
"For time:
Row 500 meters
Body weight Bench press, 30 reps
Row 1000 meters
Body weight Bench press, 20 reps
Row 2000 meters
Body weight Bench press, 10 reps",Post time to comments.
CrossFit Games Open 13.2,"Complete as many rounds and reps as possible in 10 minutes of:
115 pound Shoulder to overhead, 5 reps
115 pound Deadlift, 10 reps
15 Box jumps, 24"" box"
"Three rounds for time of:
185 pound barbell Overhead walk, 50 yards
185 pound barbell Walking lunge, 25 yards
95 pound barbells Farmer carry, 50 yards",Kyle Kasperbauer 6:42. Post time to comments.
Rest Day,
